# wavelength_nm,flux_ph_s_nm_sr_m2
# source=ESO SkyCalc via skycalc_ipy; observatory=paranal; airmass=1.2; incl_moon=Y; moon_sun_sep=90; moon_target_sep=60; moon_alt=30; pwv=2.5; msolflux=130; wmin=300 nm; wmax=900 nm; wdelta=1 nm
# unit_conversion=SkyCalc ph/(s um arcsec^2 m^2) * (206265^2) / 1000 -> ph/(s nm sr m^2)
wavelength_nm,flux_ph_s_nm_sr_m2
462.100535,2.2467883252e+10
462.562866,2.3246187179e+10
463.025660,2.2744628581e+10
463.488918,2.2734926521e+10
463.952638,2.1227094874e+10
464.416823,2.3265107402e+10
464.881472,2.1355684002e+10
465.346586,2.1496377276e+10
465.812166,2.1594286760e+10
466.278211,2.2851745744e+10
466.744722,2.0839074030e+10
467.211700,2.1901606377e+10
467.679146,2.2727184289e+10
468.147059,2.1920035518e+10
468.615440,2.1602740020e+10
469.084290,2.1599792084e+10
469.553609,2.2562592003e+10
470.023397,2.1397913737e+10
470.493656,2.0982400861e+10
470.964385,2.0948872301e+10
471.435585,2.2411567133e+10
471.907256,2.2940181144e+10
472.379399,2.2687605448e+10
472.852015,2.2309136210e+10
473.325103,2.2157125548e+10
473.798665,2.2339672098e+10
474.272701,2.2822111453e+10
474.747211,2.2793284335e+10
475.222195,2.3119747976e+10
475.697655,2.2376852856e+10
476.173591,2.2462402018e+10
476.650003,2.1512994658e+10
477.126891,2.2484709426e+10
477.604257,2.2881369177e+10
478.082100,2.3347054569e+10
478.560421,2.2829104675e+10
479.039221,2.2171883629e+10
479.518500,2.3181821997e+10
479.998258,2.2783952750e+10
480.478496,2.3089037048e+10
480.959215,2.2815701377e+10
481.440415,2.2883811135e+10
481.922096,2.3469884349e+10
482.404259,2.3228377953e+10
482.886905,2.3320693760e+10
483.370033,2.2553638577e+10
483.853645,2.2394467822e+10
484.337741,2.1933011603e+10
484.822321,2.2792780063e+10
485.307385,2.2206030485e+10
485.792936,2.0346928493e+10
486.278972,1.6466531455e+10
486.765494,2.0181767670e+10
487.252503,1.9916626440e+10
487.739999,2.0773606743e+10
488.227983,2.2174663907e+10
488.716455,2.1473624562e+10
489.205416,1.9931594366e+10
489.694866,2.2312629807e+10
490.184806,2.2406440935e+10
490.675236,2.2541560199e+10
491.166156,2.0722635144e+10
491.657568,2.2264422715e+10
492.149472,1.9452095984e+10
492.641867,2.1038941891e+10
493.134756,2.2356944837e+10
493.628137,2.1213467337e+10
494.122012,2.1813102686e+10
494.616381,2.2098218526e+10
495.111245,2.2354375106e+10
495.606604,2.1651553866e+10
496.102458,2.0880536115e+10
496.598809,2.2024869698e+10
497.095656,2.1412540815e+10
497.593000,2.2626895376e+10
498.090842,2.0960952548e+10
498.589182,1.9390744975e+10
499.088021,2.1639883970e+10
499.587358,2.1935674484e+10
500.087196,2.0019067229e+10
500.587533,1.9215668200e+10
501.088371,2.0154398570e+10
501.589710,1.9056266412e+10
502.091551,1.9073124726e+10
502.593893,1.9538225725e+10
503.096738,1.9763564700e+10
503.600087,2.0293387094e+10
504.103939,1.8378006607e+10
504.608295,2.1071614391e+10
505.113156,1.8978810189e+10
505.618521,2.0944555054e+10
506.124393,2.1132057915e+10
506.630770,2.0214401636e+10
507.137655,1.9966917630e+10
507.645046,2.0114800137e+10
508.152945,1.9082474848e+10
508.661352,1.9614231654e+10
509.170268,2.0626177405e+10
509.679693,2.0567558645e+10
510.189627,1.9276315959e+10
510.700072,1.9681971676e+10
511.211028,2.0012931057e+10
511.722494,2.0818081243e+10
512.234473,2.0442193517e+10
512.746963,1.8728280756e+10
513.259967,1.9365545571e+10
513.773483,1.9778606070e+10
514.287514,1.8643011653e+10
514.802059,1.9419293410e+10
515.317118,1.9303352986e+10
515.832693,2.0003520025e+10
516.348784,1.9850656566e+10
516.865391,1.5810808918e+10
517.382515,1.5909480997e+10
517.900156,2.0201513351e+10
518.418315,1.5886425013e+10
518.936993,2.0830724039e+10
519.456189,1.8246992017e+10
519.975905,2.7567321075e+10
520.496141,2.0210113074e+10
521.016898,1.9107951111e+10
521.538175,1.9423702062e+10
522.059974,1.9992176291e+10
522.582295,1.9809663937e+10
523.105139,1.9209629851e+10
