# wavelength_nm,flux_ph_s_nm_sr_m2
# source=ESO SkyCalc via skycalc_ipy; observatory=paranal; airmass=1.2; incl_moon=N; moon_sun_sep=90; moon_target_sep=60; moon_alt=30; pwv=2.5; msolflux=130; wmin=300 nm; wmax=900 nm; wdelta=1 nm
# unit_conversion=SkyCalc ph/(s um arcsec^2 m^2) * (206265^2) / 1000 -> ph/(s nm sr m^2)
wavelength_nm,flux_ph_s_nm_sr_m2
378.714444,5.1578709995e+09
379.093348,4.6750673064e+09
379.472631,5.1359740089e+09
379.852293,4.5920000609e+09
380.232335,4.6628931511e+09
380.612758,4.4505027373e+09
380.993561,4.5180460407e+09
381.374745,4.8299135370e+09
381.756311,5.5646512997e+09
382.138258,5.0468269530e+09
382.520587,4.8044969295e+09
382.903299,4.9503144092e+09
383.286394,6.3287889333e+09
383.669872,4.9874744849e+09
384.053734,4.6559153125e+09
384.437980,4.6938477621e+09
384.822610,5.4130975082e+09
385.207625,4.6479173876e+09
385.593025,4.3628580644e+09
385.978811,3.8384766099e+09
386.364983,3.9573643743e+09
386.751541,4.1445757398e+09
387.138486,3.8385003604e+09
387.525818,4.0535219731e+09
387.913538,3.8465563061e+09
388.301646,3.9595200164e+09
388.690141,3.8455890930e+09
389.079026,4.6306000021e+09
389.468300,4.0651483326e+09
389.857963,4.1247969960e+09
390.248016,4.1347778343e+09
390.638459,5.3681873891e+09
391.029293,6.0127071861e+09
391.420518,5.4386268983e+09
391.812134,4.8284876271e+09
392.204142,4.6123103973e+09
392.596542,4.5725370285e+09
392.989335,4.0498244536e+09
393.382521,3.8371745920e+09
393.776100,3.6140565394e+09
394.170073,4.4246431851e+09
394.564441,5.2829981714e+09
394.959202,4.7114854505e+09
395.354359,5.2137908374e+09
395.749911,4.6259012622e+09
396.145859,4.4083990084e+09
396.542203,3.7947599409e+09
396.938944,3.5816852003e+09
397.336081,4.0304085557e+09
397.733616,4.8801519456e+09
398.131549,4.9399924938e+09
398.529879,4.8009030655e+09
398.928608,5.0086095951e+09
399.327737,4.9598924757e+09
399.727264,4.5722713974e+09
