time_ns,amplitude_mv,amplitude_per_pe,is_measured_support
-22.199999999999747,0.0,0.0,True
-21.999999999999744,0.0,0.0,True
-21.79999999999974,0.0,0.0,True
-21.59999999999974,0.0,0.0,True
-21.399999999999736,0.0,0.0,True
-21.199999999999733,0.0,0.0,True
-20.99999999999973,0.0,0.0,True
-20.799999999999727,0.0,0.0,True
-20.599999999999724,0.0,0.0,True
-20.39999999999972,0.0,0.0,True
-20.19999999999972,0.0,0.0,True
-19.999999999999716,0.0,0.0,True
-19.799999999999713,0.0,0.0,True
-19.59999999999971,0.0,0.0,True
-19.399999999999707,0.0,0.0,True
-19.199999999999704,0.0,0.0,True
-18.9999999999997,0.0,0.0,True
-18.7999999999997,0.0,0.0,True
-18.599999999999696,0.0,0.0,True
-18.399999999999693,0.0,0.0,True
-18.19999999999969,0.0,0.0,True
-17.999999999999687,0.0,0.0,True
-17.799999999999685,0.0,0.0,True
-17.59999999999968,0.0,0.0,True
-17.39999999999968,0.0,0.0,True
-17.199999999999676,0.0,0.0,True
-16.999999999999673,0.0,0.0,True
-16.79999999999967,0.0,0.0,True
-16.599999999999667,0.0,0.0,True
-16.399999999999665,0.0,0.0,True
-16.199999999999662,0.0,0.0,True
-15.999999999999659,0.0,0.0,True
-15.799999999999656,0.0,0.0,True
-15.599999999999653,0.0,0.0,True
-15.39999999999965,0.0,0.0,True
-15.199999999999648,0.0,0.0,True
-14.999999999999645,0.013423001981861736,0.00015973117217823449,True
-14.799999999999642,0.016982212190838886,0.00020208509714054066,True
-14.599999999999639,0.020573360869257717,0.0002448190838184297,True
-14.399999999999636,0.024025918102144144,0.00028590385863754963,True
-14.199999999999633,0.027231796467444627,0.00032405320182041225,True
-13.99999999999963,0.030150159382121563,0.0003587811657909712,True
-13.799999999999628,0.03278498658970649,0.0003901351087407935,True
-13.599999999999625,0.03514822491625127,0.0004182571956290777,True
-13.399999999999622,0.037229269512018874,0.0004430212307596928,True
-13.19999999999962,0.03898908130381638,0.00046396265658207853,True
-12.999999999999616,0.04038241752656073,0.00048054309279136237,True
-12.799999999999613,0.041391992579107126,0.0004925568440195189,True
-12.59999999999961,0.042049483949700074,0.0005003808663554911,True
-12.399999999999608,0.042429256949696126,0.0005049000928692758,True
-12.199999999999605,0.04262194756947868,0.0005071930746186049,True
-11.999999999999602,0.04270723191987637,0.0005082079421777314,True
-11.7999999999996,0.04273998724844401,0.0005085977243616469,True
-11.599999999999596,0.04275085574001794,0.0005087270573455249,True
-11.399999999999594,0.04275395233128198,0.0005087639061929757,True
-11.19999999999959,0.04275469528689549,0.0005087727472235576,True
-10.999999999999588,0.042754829747217636,0.0005087743472758332,True
-10.799999999999585,0.042754830922602925,0.0005087743612626948,True
-10.599999999999582,0.042754830922602925,0.0005087743612626948,True
-10.39999999999958,0.042754830922602925,0.0005087743612626948,True
-10.199999999999577,0.042754830922602925,0.0005087743612626948,True
-9.999999999999574,0.042754830922602925,0.0005087743612626948,True
