elevation_deg,id,cell_index,ring_index,center_x,center_y,center_z,normal_x,normal_y,normal_z,surface_type,radius_of_curvature,aperture_shape,size1,size2,aperture_rotation_rad
20,6,0,2,1.633909308,0.001381441,-15.831225581000002,-0.10270104071756005,-9.890991894042842e-05,0.9947122631456586,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,7,1,2,0.816970554,1.4164336610000001,-15.831591174,-0.05134287488316076,-0.08901532439700123,0.9947060778045085,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,8,2,2,-0.816973261,1.416434875,-15.831591521,0.051340070182786864,-0.08901602348575824,0.9947061600072704,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,9,3,2,-1.633913032,0.0013834709999999998,-15.831224795,0.10269975545257322,-0.00010028567531663527,0.9947123957068018,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,10,4,2,-0.817016173,-1.413509305,-15.830828655,0.05134519790878173,0.0888143915798019,0.9947239187332422,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,11,5,2,0.816965162,-1.413510019,-15.830832366000001,-0.05134313613836136,0.08881220077771299,0.9947242207589483,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,12,0,3,1.222853599,0.707249472,-15.874491073,-0.0767363215628463,-0.04439347583105932,0.9960626266739661,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,13,1,3,-1.4529999999999e-06,1.413325409,-15.874677179,-1.3940000760950926e-06,-0.0886943068208319,0.9960588938088094,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,14,2,3,-1.222856833,0.707250964,-15.874490892,0.07673424414475369,-0.04439452022030777,0.9960627401674766,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,15,3,3,-1.222787578,-0.704693484,-15.874091560000002,0.07672321967020901,0.044229510335338666,0.9960709301946991,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,16,4,3,-2.5382e-05,-1.410463781,-15.873888847,9.553580698155452e-07,0.08850016391612395,0.996076162241576,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,17,5,3,1.2227547380000001,-0.704506134,-15.87410079,-0.07672089985003402,0.044216963027508896,0.9960716659492052,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,18,0,4,2.446024027,0.001468024,-15.616745863,-0.15471375393510203,-0.00010250056199530127,0.9879593330886366,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,19,1,4,1.224484613,2.120533053,-15.617013946,-0.07745679181405424,-0.13417434607148707,0.9879259538336681,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,20,2,4,-1.222996289,2.1197430319999997,-15.617459465,0.07735796378138161,-0.13412368166610802,0.9879405768850306,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,21,3,4,-2.446027688,0.001471015,-15.616744755000001,0.15471252387622678,-0.00010449290097929885,0.9879595255055147,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,22,4,4,-1.223003733,-2.116602221,-15.616075415,0.07736364926632318,0.13391497386331802,0.9879684435989766,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,23,5,4,1.2229513870000002,-2.116603601,-15.616081402,-0.07736209125389562,0.1339121847026807,0.9879689436540904,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,24,0,5,2.036644794,0.705846085,-15.704405053,-0.12846265725719283,-0.04451714411892691,0.990714676165603,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,25,1,5,0.408225078,2.117394963,-15.704864471,-0.025758201026227046,-0.1335875140500797,0.990702221239971,Spherical,16.0,Hexagon,0.8,0.0,0.0
20,26,2,5,-1.628416598,1.4129164810000001,-15.704617984,0.10270525947183579,-0.08914091235189649,0.9907096080193704,Spherical,16.0,Hexagon,0.8,0.0,0.0
