wavelength_nm,efficiency
504,0.9240381268
505,0.9228114895
506,0.9224204686
507,0.9229184247
508,0.9242284624
509,0.9262431219
510,0.9286771445
511,0.9312490148
512,0.9337164983
513,0.9358146887
514,0.9373560379
515,0.9382484165
516,0.9384537898
517,0.9380812139
518,0.9372808223
519,0.9361711853
520,0.9348298888
521,0.9333624612
522,0.9318653982
523,0.9303585665
524,0.9288874813
525,0.9275224444
526,0.9263628065
527,0.9255021913
528,0.9249884566
529,0.9249287452
530,0.9254636894
531,0.9265762211
532,0.9282500937
533,0.9303344234
534,0.9324619045
535,0.9341661457
536,0.9348930716
537,0.933890401
538,0.9304153863
539,0.9234932546
540,0.9120781759
541,0.8951313246
542,0.8714573538
543,0.8401650667
544,0.8008339416
545,0.753644016
546,0.6992642174
547,0.6388161481
548,0.5741454717
549,0.507471429
550,0.4411216323
551,0.3773498392
552,0.3178362962
553,0.2641979308
554,0.2175403397
555,0.1780935331
556,0.1452668061
557,0.1181817082
558,0.09592330148
559,0.07762949137
560,0.06251525594
561,0.04993464952
562,0.03933171803
563,0.03034580796
564,0.02275497946
565,0.01636160698
566,0.01101314416
567,0.00679480281
568,0.00375854079
569,0.00164231969
570,0.00041003008
571,4.204527e-05
572,2.60115e-05
573,2.200915e-05
574,1.764655e-05
575,1.293072e-05
576,1.075191e-05
577,1.041196e-05
578,8.56712e-06
579,9.31463e-06
580,1.085072e-05
581,1.054696e-05
582,9.06274e-06
583,7.94042e-06
584,5.2997e-06
585,4.16053e-06
586,7.64179e-06
587,9.2309e-06
588,7.72934e-06
589,8.90669e-06
590,8.54361e-06
591,5.8426e-06
592,7.03735e-06
593,7.83589e-06
594,7.46144e-06
595,9.08262e-06
596,8.73598e-06
597,6.77377e-06
598,8.40149e-06
599,1.044446e-05
600,1.369684e-05
601,1.254058e-05
602,7.32547e-06
603,6.12528e-06
604,8.99886e-06
605,8.22495e-06
606,5.78679e-06
607,5.39039e-06
608,5.82602e-06
609,5.82612e-06
610,6.70186e-06
611,1.054091e-05
612,9.72411e-06
613,8.90822e-06
614,8.52486e-06
615,7.71654e-06
616,9.47999e-06
617,9.98959e-06
618,9.61846e-06
619,7.90109e-06
620,8.36964e-06
621,9.74388e-06
622,9.34028e-06
623,8.03967e-06
624,6.72657e-06
625,1.039658e-05
626,1.361414e-05
627,1.234383e-05
628,9.2131e-06
629,7.4211e-06
630,8.3793e-06
631,7.98274e-06
632,8.01296e-06
633,8.51813e-06
634,7.13544e-06
635,7.17759e-06
636,8.65917e-06
637,8.72561e-06
638,8.29425e-06
639,1.328578e-05
640,1.386822e-05
641,9.48118e-06
642,1.15625e-05
643,1.315046e-05
644,1.372132e-05
645,1.333973e-05
646,1.39757e-05
647,1.356835e-05
648,1.369816e-05
649,1.219541e-05
650,1.391547e-05
651,1.240536e-05
652,1.192702e-05
653,9.29004e-06
654,8.29471e-06
655,1.00524e-05
656,1.127675e-05
657,1.079974e-05
658,1.091668e-05
659,1.045563e-05
660,1.233815e-05
661,1.427956e-05
662,1.211035e-05
663,8.05139e-06
664,6.30238e-06
665,9.00679e-06
666,9.93698e-06
667,1.045378e-05
668,1.169485e-05
669,1.113983e-05
670,1.098688e-05
671,1.629927e-05
672,1.757184e-05
673,1.333456e-05
674,1.00406e-05
675,9.84465e-06
676,7.06709e-06
677,9.38614e-06
678,1.236167e-05
679,1.132584e-05
680,1.089072e-05
681,1.096703e-05
682,9.23263e-06
683,9.18154e-06
684,8.01966e-06
685,6.49863e-06
686,6.56667e-06
687,5.88894e-06
688,7.54842e-06
689,8.45569e-06
690,9.0285e-06
691,9.61521e-06
692,1.276257e-05
693,1.387212e-05
694,1.856652e-05
695,2.746488e-05
696,3.070178e-05
697,3.12593e-05
698,3.231356e-05
699,3.095556e-05
