event_id,shower_event_id,array_id,telescope_id,source_bunch_index,source_coordinate_frame,input_x_m,input_y_m,input_z_m,input_dir_x,input_dir_y,input_dir_z,time_ns,emission_altitude_km,multiplicity,wavelength_nm,eventio_2d
117,1,17,0,50,corsika_nwu_relative,0.9619999695,-0.8119999695,0,-0.01826666668,-0.02769999951,-0.9994493679,-64.90000153,5.33334875,4.679999828,629.3238691,1
117,1,17,0,51,corsika_nwu_relative,-1.255999985,-2.416000061,0,-0.02066666633,-0.02943333425,-0.9993530746,-64.59999847,5.33334875,4.699999809,273.5494863,1
117,1,17,0,52,corsika_nwu_relative,1.325,1.358000031,0,-0.01786666736,-0.02539999969,-0.9995176948,-65.09999847,5.33334875,4.710000038,609.1684981,1
117,1,17,0,53,corsika_nwu_relative,1.32,0.2870000076,0,-0.01783333346,-0.02653333358,-0.9994888466,-65,5.3210825,4.760000229,529.5479057,1
117,1,17,0,54,corsika_nwu_relative,1.028000031,-0.6059999847,0,-0.01813333295,-0.02753333375,-0.9994564011,-64.90000153,5.308844375,4.809999943,537.5744864,1
117,1,17,0,55,corsika_nwu_relative,0.8190000153,2.556999969,0,-0.01833333261,-0.02403333411,-0.9995430395,-65.19999695,5.308844375,4.829999924,582.7958792,1
117,1,17,0,56,corsika_nwu_relative,0.1160000038,-1.666999969,0,-0.01909999922,-0.02869999968,-0.9994055734,-64.80000305,5.308844375,4.480000019,369.1336475,1
117,1,17,0,57,corsika_nwu_relative,0.695,2.747999878,0,-0.01843333244,-0.02380000055,-0.9995467834,-65.19999695,5.296634375,4.550000191,900.7184306,1
117,1,17,0,58,corsika_nwu_relative,-2.378999939,-2.308000031,0,-0.02190000005,-0.02950000018,-0.9993248421,-64.5,5.2844525,4.570000172,739.8404123,1
117,1,17,0,59,corsika_nwu_relative,-0.8469999695,3.878999939,0,-0.02016666718,-0.02250000089,-0.9995434235,-65.19999695,5.2844525,4.579999924,314.6157538,1
117,1,17,0,60,corsika_nwu_relative,0.2310000038,3.226000061,0,-0.01889999956,-0.0232333336,-0.9995514005,-65.19999695,5.2844525,4.619999886,921.9792128,1
117,1,17,0,61,corsika_nwu_relative,0.5229999924,2.896000061,0,-0.01853333414,-0.02356666699,-0.9995504628,-65.19999695,5.27229875,4.679999828,807.0904821,1
117,1,17,0,62,corsika_nwu_relative,0.8430000305,0.6059999847,0,-0.01816666685,-0.0262000002,-0.9994916369,-65,5.2601725,4.690000057,314.9652594,1
117,1,17,0,63,corsika_nwu_relative,0.8569999695,0.2039999962,0,-0.01810000092,-0.02666666731,-0.9994805045,-65,5.2601725,4.71999979,322.0368178,1
117,1,17,0,64,corsika_nwu_relative,-1.331000061,-2.781000061,0,-0.02066666633,-0.03016666695,-0.9993312069,-64.59999847,5.2601725,4.730000019,345.161071,1
117,1,17,0,65,corsika_nwu_relative,-1.658000031,3.276000061,0,-0.02106666751,-0.02306666598,-0.9995119431,-65.09999847,5.248074375,4.739999771,396.8786568,1
117,1,17,0,66,corsika_nwu_relative,-1.741000061,3.287000122,0,-0.02116666734,-0.02303333394,-0.9995105991,-65.09999847,5.248074375,4.760000229,483.9844415,1
117,1,17,0,67,corsika_nwu_relative,-0.8069999695,2.957000122,0,-0.02003333345,-0.02339999937,-0.9995254402,-65.09999847,5.248074375,4.769999981,877.4546032,1
117,1,17,0,68,corsika_nwu_relative,-0.4420000076,-2.298000031,0,-0.01960000023,-0.02966666594,-0.9993676645,-64.69999695,5.248074375,4.800000191,678.4248592,1
117,1,17,0,69,corsika_nwu_relative,0.6020000076,1.306999969,0,-0.01830000058,-0.02533333376,-0.9995115468,-65.09999847,5.236004375,4.860000134,778.4352887,1
117,1,17,0,70,corsika_nwu_relative,-2.268999939,3.291000061,0,-0.02176666632,-0.02293333411,-0.9995000122,-65,5.223961875,4.869999886,359.1741,1
117,1,17,0,71,corsika_nwu_relative,-1.586000061,-2.731000061,0,-0.02093333378,-0.03023333289,-0.9993236418,-64.59999847,5.223961875,4.539999962,462.4466706,1
117,1,17,0,72,corsika_nwu_relative,0.2229999924,-1.495,0,-0.0187333338,-0.02876666747,-0.9994105968,-64.80000305,5.223961875,4.559999943,939.6053588,1
117,1,17,0,73,corsika_nwu_relative,-1.593999939,3.247999878,0,-0.02093333378,-0.02293333411,-0.9995178126,-65.09999847,5.223961875,4.570000172,456.2314358,1
117,1,17,0,74,corsika_nwu_relative,-2.827000122,-2.732999878,0,-0.022466667,-0.03030000068,-0.9992883262,-64.5,5.211947188,4.610000134,369.7656824,1
117,1,17,0,75,corsika_nwu_relative,-0.8490000153,-2.411999969,0,-0.01999999955,-0.0299333334,-0.9993517877,-64.59999847,5.211947188,4.619999886,447.9440456,1
117,1,17,0,76,corsika_nwu_relative,-2,-2.756000061,0,-0.02143333293,-0.03036666662,-0.9993090002,-64.5,5.211947188,4.630000114,567.9719715,1
117,1,17,0,77,corsika_nwu_relative,-2.456000061,-2.748999939,0,-0.02199999988,-0.03040000051,-0.9992956719,-64.5,5.19996,4.670000076,392.5097552,1
117,1,17,0,78,corsika_nwu_relative,-1.190999985,-2.54,0,-0.02040000074,-0.03013333306,-0.9993376918,-64.59999847,5.19996,4.679999828,655.0589942,1
117,1,17,0,79,corsika_nwu_relative,-0.7590000153,2.856000061,0,-0.01986666583,-0.02333333343,-0.9995303253,-65.09999847,5.188000313,4.690000057,738.1178333,1
117,1,17,0,80,corsika_nwu_relative,-1.276999969,3.092999878,0,-0.02050000057,-0.02300000004,-0.9995252623,-65.09999847,5.188000313,4.710000038,260.5267391,1
117,1,17,0,81,corsika_nwu_relative,-1.928999939,-2.708999939,0,-0.0213333331,-0.03040000051,-0.9993101265,-64.5,5.188000313,4.71999979,273.2957457,1
117,1,17,0,82,corsika_nwu_relative,0.5229999924,1.39,0,-0.01820000075,-0.02516666614,-0.9995175831,-65.09999847,5.188000313,4.710000038,552.3710866,1
117,1,17,0,83,corsika_nwu_relative,-1.388000031,-3.273999939,0,-0.02063333243,-0.03113333322,-0.9993022471,-64.5,5.176068438,4.730000019,343.6641533,1
117,1,17,0,84,corsika_nwu_relative,0.9290000153,-1.164000015,0,-0.0176333338,-0.02843333408,-0.9994401488,-64.90000153,5.176068438,4.769999981,765.7197336,1
