event_id,telescope_id,photon_index,mirror_id,surface_x_m,surface_y_m,surface_z_m,mirror_x_m,mirror_y_m,mirror_z_m,input_x_m,input_y_m,input_z_m,input_dir_x,input_dir_y,input_dir_z,u_m,v_m,dir_x,dir_y,dir_z,time_ns,wavelength_nm,weight,relative_efficiency,signal_weight,source_bunch_index,source_coordinate_frame,raw_input_x_m,raw_input_y_m,raw_input_z_m,raw_input_dir_x,raw_input_dir_y,raw_input_dir_z,emission_altitude_km,multiplicity,eventio_2d
110,0,1927,4,-2.689822423,0.1918571654,-8,-0.3378457137,-1.001517728,-15.94402919,-0.3176160987,-1.003000031,-15.88439719,-0.3211693824,0.02353333309,-0.9467293225,-2.689822423,0.1918571654,-0.2809874904,0.1425708915,0.9490624696,-36.86925936,407.0243834,1,1,1,133,corsika_nwu_relative,0.3379999924,1.003000031,0,-0.02199999988,-0.02353333309,-0.9994809564,5.09330875,4.78000021,1
110,0,1945,33,-2.606507624,0.1409522969,-8,-1.732503814,-1.225630519,-15.70876279,-1.629426947,-1.233000031,-15.40693709,-0.3230981471,0.02309999987,-0.9460834938,-2.606507624,0.1409522969,-0.1109480937,0.1734772281,0.9785684298,-37.75902234,527.9902093,1,1,1,137,corsika_nwu_relative,1.733999939,1.233000031,0,-0.01996666752,-0.02309999987,-0.9995337524,5.081594375,4.860000134,1
110,0,1957,5,-2.721199389,0.203710465,-8,0.07465771546,-0.7024269158,-15.96340483,0.05544186552,-0.7009999847,-16.02017919,-0.3205040835,0.02380000055,-0.9469480938,-2.721199389,0.203710465,-0.329372072,0.1067494995,0.9381463546,-36.78558149,390.572353,1,1,1,139,corsika_nwu_relative,-0.05900000095,0.7009999847,0,-0.02270000055,-0.02380000055,-0.9994589886,5.069907188,4.610000134,1
110,0,2001,37,-2.786470076,0.2123314759,-8,0.8687558437,2.787081806,-15.44513041,0.6070414187,2.811000061,-16.22094501,-0.3195074773,0.02920000069,-0.9471337455,-2.786470076,0.2123314759,-0.4208923291,-0.296477615,0.8572926403,-38.36401629,926.9739989,1,1,1,148,corsika_nwu_relative,-0.6459999847,-2.811000061,0,-0.02370000072,-0.02920000069,-0.9992925847,5.035005938,4.71999979,1
110,0,2020,33,-2.609006752,0.1351784993,-8,-1.595998242,-1.36879904,-15.71138925,-1.507266906,-1.375,-15.45139971,-0.3229130026,0.02256666683,-0.9461595734,-2.609006752,0.1351784993,-0.1278773323,0.1898549061,0.9734487673,-37.75940164,341.5095187,1,1,1,152,corsika_nwu_relative,1.603999939,1.375,0,-0.02016666718,-0.02256666683,-0.9995419206,5.023425938,4.739999771,1
110,0,2032,24,-3.002386022,0.2129486418,-8,1.94061099,0.3746595766,-15.727787,1.6482208,0.3979999924,-16.59990331,-0.3177734418,0.0253666658,-0.9478272902,-3.002386022,0.2129486418,-0.5387544707,-0.01762543835,0.8422784363,-37.16515227,290.7426319,1,1,1,154,corsika_nwu_relative,-1.753999939,-0.3979999924,0,-0.02556666732,-0.0253666658,-0.9993512284,5.023425938,4.760000229,1
110,0,2085,17,-2.910082914,0.2313854667,-8,1.397963863,-0.4434076466,-15.86946636,1.206565268,-0.4290000153,-16.43915384,-0.3183858731,0.02396666631,-0.9476581845,-2.910082914,0.2313854667,-0.4788400386,0.07500335467,0.874692354,-36.79500842,320.8595387,1,1,1,165,corsika_nwu_relative,-1.283999939,0.4290000153,0,-0.02493333258,-0.02396666631,-0.999401785,5.000345313,4.860000134,1
110,0,2098,6,-2.917222133,0.2266548444,-8,1.475119411,-0.327732656,-15.84357653,1.267645288,-0.3120000076,-16.46138515,-0.3182580679,0.02413333394,-0.9476968843,-2.917222133,0.2266548444,-0.4876717235,0.06155238729,0.8708545193,-36.93121188,290.0666994,1,1,1,167,corsika_nwu_relative,-1.348999939,0.3120000076,0,-0.02506666631,-0.02413333394,-0.9993944389,5.000345313,4.880000114,1
110,0,2118,37,-2.775146338,0.2271902786,-8,0.6473945031,3.138052353,-15.38864453,0.3927915083,3.162000122,-16.14296442,-0.3196566507,0.03006666712,-0.9470562925,-2.775146338,0.2271902786,-0.3957846025,-0.336613774,0.8544271272,-38.31190093,471.6367545,1,1,1,171,corsika_nwu_relative,-0.4179999924,-3.162000122,0,-0.02353333309,-0.03006666712,-0.999270823,4.988845,4.610000134,1
110,0,2140,16,-2.718214054,0.1927591581,-8,0.03531602239,-1.30972375,-15.88313271,-0.003758770539,-1.306999969,-15.99863192,-0.3203893308,0.02233333327,-0.9470226496,-2.718214054,0.1927591581,-0.3245445781,0.1770900147,0.9291447376,-37.10627324,322.7020813,1,1,1,176,corsika_nwu_relative,0.00400000006,1.306999969,0,-0.02283333242,-0.02233333327,-0.9994898004,4.977370938,4.650000095,1
110,0,2182,19,-2.889138742,0.1882984257,-8,1.334548153,2.447735153,-15.55929801,1.057154198,2.473000031,-16.38477266,-0.3184034653,0.02899999917,-0.9475116006,-2.889138742,0.1882984257,-0.4719643043,-0.2524745583,0.8446930169,-37.65481332,967.9569052,1,1,1,184,corsika_nwu_relative,-1.125,-2.473000031,0,-0.02486666664,-0.02899999917,-0.9992700581,4.965923125,4.710000038,1
110,0,2204,45,-2.594681602,0.09448771535,-8,-2.235137131,-1.514402731,-15.50888851,-2.136860962,-1.521000061,-15.22224621,-0.3242439666,0.02176666632,-0.9457230368,-2.594681602,0.09448771535,-0.04676860742,0.2092802744,0.9767366401,-38.44547787,535.5352164,1,1,1,188,corsika_nwu_relative,2.273999939,1.521000061,0,-0.01876666583,-0.02176666632,-0.9995869269,4.954501875,4.730000019,1
