id,x_m,y_m,shape,size_m
64,0.14350000023841858,-0.49729999899864197,Square,0.0244
65,0.1768999993801117,-0.5746999979019165,Square,0.0244
66,0.1768999993801117,-0.5489000082015991,Square,0.0244
67,0.1768999993801117,-0.5231000185012817,Square,0.0244
68,0.1768999993801117,-0.49729999899864197,Square,0.0244
69,0.20270000398159027,-0.5746999979019165,Square,0.0244
70,0.20270000398159027,-0.5489000082015991,Square,0.0244
71,0.20270000398159027,-0.5231000185012817,Square,0.0244
72,0.20270000398159027,-0.49729999899864197,Square,0.0244
73,0.22849999368190765,-0.5746999979019165,Square,0.0244
74,0.22849999368190765,-0.5489000082015991,Square,0.0244
75,0.22849999368190765,-0.5231000185012817,Square,0.0244
76,0.22849999368190765,-0.49729999899864197,Square,0.0244
77,0.25429999828338623,-0.5746999979019165,Square,0.0244
78,0.25429999828338623,-0.5489000082015991,Square,0.0244
79,0.25429999828338623,-0.5231000185012817,Square,0.0244
80,0.25429999828338623,-0.49729999899864197,Square,0.0244
81,-0.46389999985694885,-0.46389999985694885,Square,0.0244
82,-0.46389999985694885,-0.43810001015663147,Square,0.0244
83,-0.46389999985694885,-0.4122999906539917,Square,0.0244
84,-0.46389999985694885,-0.3865000009536743,Square,0.0244
85,-0.43810001015663147,-0.46389999985694885,Square,0.0244
86,-0.43810001015663147,-0.43810001015663147,Square,0.0244
87,-0.43810001015663147,-0.4122999906539917,Square,0.0244
88,-0.43810001015663147,-0.3865000009536743,Square,0.0244
89,-0.4122999906539917,-0.46389999985694885,Square,0.0244
90,-0.4122999906539917,-0.43810001015663147,Square,0.0244
91,-0.4122999906539917,-0.4122999906539917,Square,0.0244
92,-0.4122999906539917,-0.3865000009536743,Square,0.0244
93,-0.3865000009536743,-0.46389999985694885,Square,0.0244
94,-0.3865000009536743,-0.43810001015663147,Square,0.0244
95,-0.3865000009536743,-0.4122999906539917,Square,0.0244
96,-0.3865000009536743,-0.3865000009536743,Square,0.0244
97,-0.35910001397132874,-0.46389999985694885,Square,0.0244
98,-0.35910001397132874,-0.43810001015663147,Square,0.0244
99,-0.35910001397132874,-0.4122999906539917,Square,0.0244
100,-0.35910001397132874,-0.3865000009536743,Square,0.0244
101,-0.33329999446868896,-0.46389999985694885,Square,0.0244
102,-0.33329999446868896,-0.43810001015663147,Square,0.0244
103,-0.33329999446868896,-0.4122999906539917,Square,0.0244
104,-0.33329999446868896,-0.3865000009536743,Square,0.0244
105,-0.30750000476837164,-0.46389999985694885,Square,0.0244
106,-0.30750000476837164,-0.43810001015663147,Square,0.0244
107,-0.30750000476837164,-0.4122999906539917,Square,0.0244
108,-0.30750000476837164,-0.3865000009536743,Square,0.0244
109,-0.2816999852657318,-0.46389999985694885,Square,0.0244
